location_code,sector_code,employment,surplus,domestic_intermediate_inputs,imported_intermediate_inputs,exports,intermediate_sales,domestic_sales,gross_output,total_intermediate_inputs,value_added,wages,consumer_sales
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,0.104249395430088,1.6866346023634622,3.305322650910252,0.7882867978281699,0.0,0.7524497016927499,6.324101534334079,6.324101534334079,4.093609448738422,2.2304920855956563,0.5438574832321942,5.5716518326413285
2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.853469967842102,1.502931441711913,1.7191035247524753,0.5171453158735229,0.0,3.509655187480038,4.544330224209518,4.544330224209518,2.236248839348451,2.30808138358352,0.8051499418716065,1.0346750367294797
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,2.396541118621826,45.288182659853085,80.07081526668796,93.77710301628872,0.0011775253912488,234.16093417949537,234.16093417949537,234.16211170488663,173.84791828425423,60.31419342063239,15.026010760779304,0.0
3.0,4.0,20.0134220123291,3495.546010187161,1273.0213581654425,201.7356433816672,4652.658014399233,320.9410422190993,423.06031577642926,5075.718330175663,1474.7570015471094,3600.961328628553,105.41531844139251,102.11927355732992
3.0,5.0,1.5731810331344604,48.26102221654424,89.96809841839668,12.817126275311402,42.98355376173746,45.62174398850208,128.44658692302778,171.4301406834877,102.78522469370807,68.64491599105718,20.38389377323539,82.8248429345257
3.0,6.0,0.4425668120384216,0.1019292749920153,50.16515503672948,32.13471647908017,0.0226654845097412,14.313991494091344,96.23703172532736,96.25969721111466,82.29987151580964,13.959825695305014,13.857896420313,81.92304023251357
3.0,7.0,0.0630888268351554,0.9050417285212392,3.405319914404344,0.3315075030341743,1.2323698205046312,3.735978005748962,3.735978005748962,4.968347826253593,3.736827417438518,1.231520407537528,0.3264786802938358,0.0
3.0,8.0,0.4226163923740387,8.626188679655062,31.03341039156819,5.179583626956244,9.58647126157777,39.81780773171511,44.51573515298627,54.10220641456404,36.212994018524434,17.88921239476206,9.26302371638454,4.697927421271159
3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.1127548739314079,12.592509797508782,16.06761642414564,2.5640697885659534,11.600433351644842,21.11675004152028,25.320412766528264,36.92084611817311,18.631686212711596,18.289159905461517,5.696650106675183,4.203662725007985
3.0,11.0,0.6987021565437317,49.33309021143405,65.07681661705526,84.91806019418716,18.04015778601086,149.11237358160332,229.16678790673907,247.2069456927499,149.99487680996486,97.21206888278503,47.87897867262856,80.05441432641328
3.0,12.0,0.414426177740097,13.088270248482912,78.59579083615458,11.396182525710636,0.0,116.44968193292878,116.44968193292878,116.44968193292878,89.99197336058768,26.457708572341105,13.369438323858192,0.0
3.0,13.0,0.2364649623632431,2.846950502714788,74.42994068987544,19.48100754391568,3.404542343021399,109.02478854551262,109.02722452507186,112.43176686809326,93.91094823379112,18.520818634302135,15.673868131587351,0.0024359795592462
3.0,14.0,2.143970251083374,89.33556025550942,73.3152679105717,41.23181114659853,0.0651515030341743,151.9469713599489,252.51173847205365,252.57688997508785,114.54707905717024,138.0298109179176,48.69425066240817,100.56476711210476
3.0,15.0,0.107487253844738,6.635829296710316,3.843075465985309,1.35536986521878,0.0416453452571063,5.421492740977324,16.970781080804855,17.01242642606196,5.198445331204089,11.813981094857873,5.178151798147557,11.54928833982753
